'chr'	'start'	'end'	'WT_1_H2Bub_scaled.bw'	'hrp1_1_H2Bub_scaled.bw'	'hrp3_1_H2Bub_scaled.bw'	'hrp1hrp3_1_H2Bub_scaled.bw'	'prf1_1_H2Bub_scaled.bw'
I	35927	36087	-2.446877458691597	-1.8346186064183712	-2.2263743348419665	-2.648113262653351	-1.119179405272007
I	55623	55965	0.006685819171848353	0.2870175163996847	-0.26257289374214515	-0.26981099466221375	-0.6804690008835965
I	58543	58809	-0.6739166127447795	-1.108577682335574	-0.825789110048821	-1.076326064037201	-1.6996648697028482
I	59941	60269	0.3102629229926118	-0.07517173754196137	-0.42849161480439873	0.5628817391967992	-1.6597312925065435
I	63406	63634	-0.39860309614685546	-1.7319195066627704	-1.436132120981551	-1.727541672033176	-1.7787499210813589
I	68023	68922	0.3093737484058893	-0.4649837578337503	-0.1356136121951433	-0.26025809006378037	-0.7479386778376392
I	71293	71381	-1.3983308185230603	-2.395961122079329	-1.238643266260624	-2.466101271185008	-1.7832960398359732
I	92728	93070	-0.20616116920453414	0.2444991302071956	0.025013343567213818	-0.46402883190356675	-1.0006094555569982
I	96378	96672	-0.8683631204220713	-0.5106382797769948	-2.684073032570534	-1.8675779444830758	-1.8906422362846582
I	99575	100104	-1.6291004831714306	-2.0225574828275885	-1.9643084188546485	-1.9276641824745726	-1.1386405443086065
I	100674	101052	0.6106297898219613	0.03887649994126703	-1.0876820599906658	-0.5162345297122127	-1.0468585326794595
I	102126	102538	2.1876418903036026	1.1833570910599625	1.894568199092902	1.6924499896834198	-0.6521778029471057
I	104375	104664	-2.5622315976033985	-2.1868413241264317	-3.7836845094357394	-2.3738494686601896	-1.0085320232442505
I	107656	108008	-2.035540307110006	-2.6591048196635465	-1.437625970522111	-2.2170497453348204	-1.5621756550601937
I	108838	108944	-1.0674149849504795	0.3015416886587188	-0.03475713596310256	-0.9882465837136755	-1.8845836947549064
I	109991	110154	0.5813326125313167	0.5906786332649687	0.3532339935105271	0.24335575074048862	-1.578376065733974
I	111275	111646	-1.1481704647650295	-1.3047788003384264	-2.0747543660135603	-1.7609992168663005	-0.6305482996441926
I	113023	113532	-2.2260724544993553	-1.9117393897652393	-1.5684940833708159	-1.8494582357715763	-1.8696177814353425
I	114986	115474	0.4365259526663872	0.6860442697146877	-0.20402476640387637	-0.3562443326938264	-0.46085140226622584
I	117101	118149	0.5220338425199493	0.3146284540236451	-0.09110743726482828	-0.10982320598518577	-0.9558834095219619
I	117329	117759	0.8355022056851276	0.361377535041335	-0.1759206794375597	0.0015673633145038472	-1.1470672171173053
I	121174	122028	0.15851686928813855	0.5846043924425469	0.1509509124353842	0.18552822646826714	-0.357624147278922
I	126890	127971	-0.1610863115873522	-0.85282372403211	-0.3329308374847779	-1.1636837242048832	-1.0131303937913752
I	127538	128126	-0.2124242184772378	-1.0567154018651872	-0.5804861205341738	-1.0932746819999752	-0.8227640086037367
